,City Name,Latitude,Longitude,Temperature,Humidity,Clouds,Wind
0,Bandarbeyla,9.49,50.81,79.1,100,92,12.77
1,Pangkalanbuun,-2.68,111.62,84.41,93,44,4.61
2,Bar Harbor,44.39,-68.2,24.53,68,1,4.72
3,Bredasdorp,-34.53,20.04,51.8,93,0,3.36
4,Dikson,73.51,80.55,-12.7,79,32,4.16
5,Acapulco,16.86,-99.88,77,88,5,8.05
6,Yulara,-25.24,130.99,86,16,0,8.05
7,Bambous Virieux,-20.34,57.76,75.2,88,40,2.24
8,Bamberg,33.3,-81.03,52.63,40,90,9.17
9,Vaini,15.34,74.49,78.47,67,0,2.82
10,Severo-Kurilsk,50.68,156.12,33.2,96,32,4.83
11,Punta Arenas,-53.16,-70.91,41,65,20,23.04
12,Cape Town,-33.93,18.42,53.6,76,0,3.36
13,Mataura,-46.19,168.86,64.84,57,88,20.04
14,Taloqan,36.74,69.54,50.03,93,76,2.71
15,Guarapari,-20.67,-40.5,75.2,100,40,2.24
16,Wanning,48.64,13.53,37.4,91,75,3.36
17,Los Llanos de Aridane,28.66,-17.92,62.6,67,8,13.87
18,Victoria,5.28,115.24,83.35,88,75,2.24
19,Saskylakh,71.97,114.09,-18.55,79,8,12.88
20,Carutapera,-1.2,-46.02,76.67,97,92,3.71
21,Nuevo Progreso,26.05,-97.95,76.41,83,0,14.99
22,Leningradskiy,69.38,178.42,-0.37,99,80,18.14
23,Japura,-0.42,102.29,77.44,91,76,2.93
24,Hilo,19.71,-155.08,78.8,65,20,10.65
25,Waingapu,-9.65,120.26,82.88,100,24,5.73
26,Albany,42.65,-73.75,29.71,60,1,4.72
27,Amsterdam,52.37,4.89,36.23,100,40,4.7
28,Atuona,-9.8,-139.03,81.49,100,88,16.02
29,Fort-Shevchenko,44.51,50.26,38.87,98,20,12.55
30,Jamestown,-33.21,138.6,70.6,46,0,10.2
31,Thompson,55.74,-97.86,30.2,80,90,9.17
32,Maturin,9.75,-63.18,78.8,78,0,8.19
33,Ayan,40.67,33.6,40.4,66,8,6.4
34,Kilembe,0.2,30.01,63.17,100,20,2.04
35,La Cruz,23.92,-106.89,69.43,83,0,2.48
36,Boende,-0.28,20.88,74.42,94,12,2.15
37,East London,-33.02,27.91,64.4,88,0,5.82
38,Rikitea,-23.12,-134.97,80.05,100,56,16.69
39,Ushuaia,-54.81,-68.31,41,80,75,27.51
40,Naze,5.43,7.07,72.62,96,0,5.39
41,Beringovskiy,63.05,179.32,15.11,100,80,21.05
42,Farmington,36.73,-108.21,45.86,25,90,16.11
43,Bobon,12.53,124.56,80.63,100,88,15.46
44,New Norfolk,-42.78,147.06,62.6,42,75,8.05
45,Butaritari,3.07,172.79,84.23,97,0,15.01
46,Hermanus,-34.42,19.24,41.57,93,0,2.71
47,Hofn,64.25,-15.21,40.13,98,92,25.75
48,Hobart,-42.88,147.33,62.6,42,75,8.05
49,Port Hardy,50.7,-127.42,41,100,90,13.87
50,Vitim,59.44,112.57,20.2,71,64,4.38
51,Qaanaaq,77.48,-69.36,-20.85,89,12,5.39
52,Salalah,17.01,54.1,75.2,78,0,4.7
53,Cidreira,-30.17,-50.22,68.89,89,92,10.98
54,Busselton,-33.64,115.35,66.91,100,44,7.18
55,Rio Gallegos,-51.62,-69.22,42.8,70,0,21.92
56,Saint-Philippe,45.36,-73.48,29.25,68,1,2.93
57,Hami,42.84,93.51,62.05,50,0,4.27
58,Kapaa,22.08,-159.32,74.23,69,20,10.29
59,Prince Rupert,54.32,-130.32,42.8,100,90,17.22
60,Ilulissat,69.22,-51.1,-11.21,63,64,4.7
61,Bluff,-23.58,149.07,87.83,51,76,11.65
62,Dustlik,40.53,68.03,48.64,100,92,9.64
63,Port Alfred,-33.59,26.89,67.85,96,0,13.78
64,Kavaratti,10.57,72.64,83.11,100,0,3.94
65,Petropavlovsk-Kamchatskiy,53.05,158.65,35.6,55,20,4.47
66,Marsh Harbour,26.54,-77.06,70.55,100,48,22.84
67,Grand-Santi,4.27,-54.38,74.56,95,88,3.27
68,Kyshtovka,56.56,76.62,25.55,89,80,17.25
69,Salobrena,36.74,-3.59,39.2,93,0,2.24
70,Swan Hill,-35.34,143.56,66.19,87,0,7.4
71,Port Lincoln,-34.72,135.86,70.69,72,32,19.6
72,Luderitz,-26.65,15.16,55.4,93,0,4.7
73,Iqaluit,63.75,-68.52,15.8,72,75,19.46
74,Emba,34.81,32.42,50,76,0,8.05
75,Tallahassee,30.44,-84.28,54.5,81,90,6.93
76,Vila,45.18,8.4,42.78,48,0,9.17
77,Bonthe,7.53,-12.5,77.71,94,80,3.04
78,Aklavik,68.22,-135.01,-4.01,53,5,5.82
79,Nieuw Amsterdam,5.88,-55.08,75.2,94,0,12.66
80,Selma,36.57,-119.61,55.99,41,1,3.38
81,Matadi,-5.83,13.46,78.16,92,80,4.5
82,Orotukan,62.26,151.67,13.09,89,48,3.83
83,Elat,2.91,11.16,69.83,98,92,2.48
84,Bubaque,11.28,-15.83,76.45,100,44,9.31
85,Merauke,-8.49,140.4,84.91,86,56,16.8
86,Saint Anthony,43.97,-111.68,33.19,64,90,4.38
87,Grand Forks,47.91,-97.06,31.28,100,90,2.71
88,Trogir,43.52,16.25,44.6,45,0,5.82
89,Vila Franca do Campo,37.72,-25.43,53.6,87,20,2.24
90,Longyearbyen,78.22,15.63,14,66,20,9.17
91,Esperance,10.24,-61.45,77,83,20,6.93
92,Rebrikha,53.08,82.34,26.05,94,88,14.23
93,Orlik,52.51,99.83,16.73,68,56,3.71
94,Nikolskoye,59.7,30.79,12.2,85,0,4.47
95,Omboue,-1.57,9.26,82.48,100,48,8.3
96,Mecca,21.43,39.83,77,65,0,2.82
97,Khatanga,71.98,102.47,-27.91,44,8,6.73
98,Hithadhoo,-0.6,73.08,84.41,100,0,2.15
99,Pevek,69.7,170.27,-3.21,88,12,2.15
100,Yellowknife,62.45,-114.38,-9.41,57,20,6.93
101,Rawson,-43.3,-65.11,60.61,28,80,9.19
102,Kodiak,39.95,-94.76,46.4,100,90,4.7
103,Buala,-8.15,159.59,83.96,91,68,4.72
104,Barahona,18.21,-71.1,77.53,100,12,18.7
105,Netarhat,23.45,84.31,81.31,29,0,4.16
106,Katsuura,33.93,134.5,64.4,39,0,3.36
107,Makakilo City,21.35,-158.09,77,61,20,11.41
108,Sola,62.78,29.36,5,92,0,4.7
109,Puerto Escondido,15.86,-97.07,82.4,69,20,9.75
110,Mweka,-4.85,21.56,73.03,96,24,2.37
111,Itarema,-2.92,-39.92,73.93,100,64,4.05
112,Chokurdakh,70.62,147.9,2.65,85,44,10.65
113,Fortuna,38.18,-1.13,55.4,43,0,16.11
114,Chuy,-33.69,-53.46,57.05,91,0,8.63
115,Raudeberg,61.99,5.14,33.8,80,88,11.41
116,Praia,-20.25,-43.81,68,72,0,4.7
117,Barrow,-38.31,-60.23,51.11,61,0,11.1
118,Berlevag,70.86,29.09,23,92,90,16.11
119,Abnub,27.27,31.15,60.8,55,0,4.7
120,Merke,42.87,73.19,32.21,99,92,1.81
121,Harper,30.3,-99.24,72.28,73,40,9.17
122,Carnarvon,-30.97,22.13,39.68,36,0,5.06
123,Paraiso,24.01,-104.61,69.8,15,5,9.17
124,Bilma,18.69,12.92,61.6,35,8,1.7
125,Kanniyakumari,8.08,77.57,80.41,100,8,11.43
126,Ponta do Sol,-20.63,-46,62.5,77,0,4.5
127,Poum,41.28,20.71,34.51,98,76,1.92
128,Basoko,1.23,23.61,73.16,93,80,5.95
129,Kaitangata,-46.28,169.85,66.64,75,92,7.74
130,Bouca,6.51,18.28,77.03,78,80,2.71
131,Tuktoyaktuk,69.44,-133.03,-9.98,75,5,3.36
132,Isangel,-19.55,169.27,86,84,75,6.93
133,Dunedin,-45.87,170.5,66.55,50,92,14.79
134,Lagoa,37.14,-8.45,51.8,76,0,3.36
135,Georgetown,6.8,-58.16,75.2,88,0,4.7
136,Comarapa,-17.91,-64.53,47.42,94,0,2.26
137,Lebu,8.96,38.73,55.4,43,40,9.17
138,Correia Pinto,-27.59,-50.36,58.76,99,92,5.73
139,Tiksi,71.64,128.87,3.55,80,64,11.77
140,Kailua,21.39,-157.74,76.98,57,1,11.41
141,Mastic Beach,40.77,-72.85,29.91,79,1,17.02
142,Caravelas,-17.73,-39.27,80.36,100,88,10.42
143,College,64.86,-147.8,29.03,28,1,13.87
144,Torbay,47.66,-52.73,24.8,73,5,12.75
145,Bethel,60.79,-161.76,33.8,86,90,10.29
146,Ribeira Grande,38.52,-28.7,62.6,93,75,7.29
147,Krasnyy Chikoy,50.36,108.75,32.3,56,56,9.19
148,Inhambane,-23.87,35.38,76.63,100,76,11.65
149,Sabinov,49.1,21.1,35.4,60,0,4.7
150,Mana,43.52,20.24,33.64,93,90,2.24
151,Abha,18.22,42.5,54.46,37,0,4.38
152,Homer,59.64,-151.54,38.26,48,90,11.41
153,Puerto Ayora,-0.74,-90.35,79.46,100,0,8.86
154,Kangaatsiaq,68.31,-53.46,-6.31,100,0,7.74
155,De Aar,-30.65,24.01,42.47,48,0,4.05
156,Morant Bay,17.88,-76.41,80.6,57,20,3.36
157,Tomatlan,19.93,-105.25,69.2,79,0,2.37
158,Santa Isabel,4.71,-75.1,73.4,100,75,3.36
159,Hambantota,6.12,81.12,80.05,100,88,6.06
160,Pedernales,0.07,-80.05,73.43,91,76,3.15
161,Natitingou,10.31,1.38,77,44,0,2.24
162,Arlit,18.74,7.39,57.55,35,0,3.83
163,Hobyo,5.35,48.53,80.68,85,88,14.67
164,Monte Alegre,-2,-54.07,75.5,93,76,3.38
165,Calhoun,34.5,-84.95,46.4,65,90,5.82
166,Mahebourg,-20.41,57.7,75.2,88,40,2.24
167,Mbouda,5.63,10.25,64.61,85,24,1.36
168,Bang Saphan,11.21,99.51,84.2,83,0,4.7
169,Aketi,2.74,23.78,70.01,100,88,3.94
170,Avarua,-21.21,-159.78,77,88,90,9.17
171,Orel,47.02,29.78,35.6,100,90,10.29
172,Kaeo,-35.1,173.78,74.33,60,0,12.33
173,Lilongwe,-13.97,33.79,63.53,92,20,4.72
174,Hasaki,35.73,140.83,67.05,60,75,11.41
175,Gornopravdinsk,60.06,69.92,22.09,79,76,9.98
176,Husavik,50.56,-96.99,27.85,87,68,7.4
177,Champerico,16.38,-93.6,84.2,51,40,8.05
178,Aguada de Pasajeros,22.38,-80.85,68,82,0,8.05
179,Svetlogorsk,53.14,59.15,21.2,79,40,11.18
180,Grindavik,63.84,-22.43,41,80,90,33.33
181,Saint-Augustin,44.83,-0.61,49.21,93,90,10.29
182,Pouembout,-21.12,164.9,74.87,97,92,9.42
183,Faanui,-16.48,-151.75,82.75,99,44,18.7
184,Namibe,-15.19,12.15,77.44,100,80,5.73
185,Varkkallai,8.73,76.71,84.2,74,20,3.36
186,Kruisfontein,-34,24.73,60.79,90,0,11.43
187,Pozo Colorado,-23.49,-58.8,63.31,80,76,6.96
188,Airai,-8.93,125.41,77.66,87,20,1.7
189,Constitucion,23.99,-104.67,69.8,15,5,9.17
190,Ust-Tarka,55.56,75.71,25.55,93,80,17.47
191,Tabuk,17.41,121.44,75.95,53,8,3.15
192,Chimbote,-9.08,-78.59,67.9,97,56,4.38
193,Velyka Mykhaylivka,47.08,29.85,34.96,96,88,8.41
194,Alyangula,-13.85,136.42,88.91,85,8,13.67
195,Laguna,27.52,-110.01,69.43,40,92,4.61
196,Zdvinsk,54.7,78.67,24.47,94,80,17.47
197,Kinablangan,7.69,126.55,82.61,100,24,15.23
198,Zhigansk,66.77,123.37,14.66,66,48,9.19
199,Seminole,32.72,-102.64,64.33,34,1,10.29
200,Florianopolis,-27.6,-48.55,68,94,75,6.93
201,Huanren,41.26,125.37,55.39,68,0,7.85
202,Lubbock,33.58,-101.86,59.77,41,90,4.7
203,Hommersak,58.93,5.85,34.59,64,90,4.7
204,Turgenevo,54.84,46.32,27.31,92,88,15.9
205,Havoysund,71,24.66,24.8,85,90,16.11
206,Pucallpa,-8.38,-74.54,71.6,88,75,1.12
207,Shimoda,34.7,138.93,64.4,63,40,4.7
208,Clyde River,70.47,-68.59,-7.61,83,90,23.04
209,Puerto del Rosario,28.5,-13.86,62.6,77,32,20.8
210,Deputatskiy,69.3,139.9,2.42,80,24,3.94
211,Port Elizabeth,39.31,-74.98,32.36,79,1,7.96
212,Novaya Bryan,51.72,108.27,35.6,51,75,22.37
213,Saint George,39.45,22.34,42.8,87,20,4.7
214,Cherskiy,68.75,161.3,6.02,65,0,4.05
215,Kourou,5.16,-52.64,77,94,75,3.36
216,Trebinje,42.71,18.35,46.4,75,0,13.87
217,Merritt,50.11,-120.79,44.55,58,90,13.87
218,Dzhebariki-Khaya,62.22,135.8,26.41,84,88,4.27
219,Mar del Plata,-46.43,-67.52,60.34,52,92,19.48
220,Sobolevo,54.43,31.9,29.51,92,92,13.67
221,Cabo San Lucas,22.89,-109.91,69.13,72,5,9.17
222,Provideniya,64.42,-173.23,23,79,90,13.42
223,Salina Cruz,16.18,-95.2,76.09,77,0,4.05
224,Suntar,62.16,117.65,18.85,54,0,7.74
225,Gigmoto,13.78,124.39,80.41,98,80,15.23
226,Skibbereen,51.55,-9.27,50,100,75,11.41
227,Hammerfest,70.66,23.68,24.8,85,90,16.11
228,Berdigestyakh,62.1,126.7,24.65,69,88,9.19
229,Vanimo,-2.67,141.3,81.08,100,44,5.39
230,Houma,35.63,111.36,72.71,42,0,3.49
231,Aksehir,38.36,31.42,46.03,53,0,8.75
232,Castro,-42.48,-73.76,50.03,98,68,3.15
233,Padang,-0.92,100.36,82.66,100,24,2.15
234,Tasiilaq,65.61,-37.64,26.6,86,24,14.99
235,Maiduguri,11.84,13.15,71.41,36,0,6.4
236,Matagami,9.67,8.4,63.35,69,0,2.48
237,Timbuktu,16.77,-3.01,57.28,31,0,3.04
238,Geraldton,49.72,-86.95,28.4,92,90,5.82
239,Albert,50,2.65,37.4,93,90,6.85
240,Colombo,6.93,79.85,80.14,100,20,3.71
241,Moron,10.49,-68.2,77,83,40,8.05
242,Akdepe,42.05,59.39,44.56,66,0,6.93
243,Chiredzi,-21.05,31.67,69.2,99,92,7.63
244,Saint-Pierre,48.95,4.24,40.01,86,88,8.05
245,Lompoc,34.64,-120.46,52.14,71,1,9.17
246,Rocha,-34.48,-54.34,48.95,87,0,4.61
247,Saint-Leu,-21.15,55.28,74.26,73,0,6.93
248,Wasilla,61.58,-149.44,34.72,40,1,8.05
